Comentário,notaPositiva,notaNegativa,Sentimento
"Quem vota contra a reforma é só malandro, vagabundo e preguiçoso",1,-2,negativo
Triste,1,-3,negativo
Me diz como o pobre será prejudicado???,1,-2,negativo
Rico cada vez mais rico e pobre cada vez mais pobre!,1,-2,negativo
Isso mesmo lute aí . Seja a voz dos menos favorecidos. Não  essa maldita reforma.,1,-2,negativo
Para com o circo canhotas!!!,1,-1,neutro
Ainda tem pobre que apoia,1,-2,negativo
Me diz a lógica de ser todo mundo pobre ou todo mundo rico?!,1,-2,negativo
É triste ver pobre acreditando nessa reforma!,1,-3,negativo
O que o PT fez para os pobres???,1,-1,neutro
"O buraco só abre, cai na real... Uma entropia sem tamanho!",1,-1,neutro
Tchau canhotas!,1,-1,neutro
Eu já esperava que iria pesquisar no Google! 😂😂😉,2,-1,positivo
Meu bem,2,-1,positivo
É que foram tantos programas sociais que não tenho todos gravados na memória,1,-2,negativo
Te amo Larissa! 😘,1,-1,neutro
Mas trabalhei por e exemplo no “ água para todos”,1,-1,neutro
Te amo Jesselllll😘,1,-1,neutro
Mas a água não chegou!,1,-1,neutro
Cadê a obra do velho Chico???,1,-2,negativo
Ah chegou!!,1,-1,neutro
Chegou água onde nunca havia chegado em toda a história do Brasil,1,-1,neutro
O PT só desviou dinheiro.,1,-2,negativo
Te garanto,1,-1,neutro
Comi muita poeira,3,-1,positivo
Manutenção de barragens,1,-1,neutro
Energia limpa,1,-1,neutro
Fdp!!!,1,-1,neutro
"Somos POBRES, idiotas, ignorantes, feios... e moramos longe, enquanto os engomadinhos -diga-se de passagem, eleitos por nós - irão votar contra nós, exemplo :  Se o homem aposentado com dois salários mínimos MORRE, a esposa aposentada com 1,5 salários mínimos...não mais receberá os dois salários mínimos de pensão e mais 1,5 salários mínimos dela... os engomadinhos irão reformar : a esposa passa a receber até 30% [ à menor ] do valor recebido anteriormente por ela , e passará a receber a pensão do esposo por inteira...atenção : se ambos conseguir aposentadoria...Simples..!!!",2,-4,negativo
"E o pobre se ferra  mais uma vez!! E os políticos só ganham, e continuam com suas mamatas... 😡😡😡😡",1,-2,negativo
O desprezo a população brasileira,3,-2,positivo
"Viva o Lula que transformou o Brasil sem tirar nada do povo, só melhorou o Brasil",2,-2,neutro
Este projeto será o maior roubo nós direitos dos trabalhadores e do cidadão menos favorecido.,1,-2,negativo
#BolsonaroOPiorPresidenteDoBrasil,1,-1,neutro
Podemos vingar nossos direitos através do voto nas próximas eleições.,1,-2,negativo
Qual o placar?,1,-1,neutro
Estes bostas destes esquerditas do inferno tem que tomar é vergonha no que chamam de cara,1,-4,negativo
Muito bem Boslonaro e toda equipe e ministros quem chora e esperneia é só preguiçoso e desocupado,2,-4,negativo
É SIM PORRA!!!! E TEM QUE TRABALHAR MESMO!!!,1,-1,neutro
Qual o placar?,1,-1,neutro
