Comentário,notaPositiva,notaNegativa,Sentimento
"Só quem sofreu de bullying sabe.. 
Ninguem t ouvir. Nem escola, nem professor..nem família. Eu que sei...
Eu nunca pensei numa coisa desse tipo porém chorava pois tinha q ir para a escola. Era muita humilhação. Frases, apelidos, chutes..
Meu pai foi ate a casa da familia para o menino tomar jeito e não resolveu.
(Anos e anos depois)
Só fiquei feliz sim qndo ele morreu no acidente de trabalho kkkkkkkkkk 
Por Deus q eu não queria sentir isso mas sabe q me deu um alívio?pelo menos ele nao se reproduziu!!
Pais cuidem de suas crianças!!!",3,-4,negativo
"Educadores enfrentam todo dia diversos tipos de bullying, inclusive sofrem das famílias da comunidade. Alguém para socorrer educadores???",2,-4,negativo
"Não existe criança difícil, o difícil é ser criança em um mundo de pessoas cansadas, ocupadas, sem paciência e com pressa.",1,-2,negativo
Esta faltando educação de casa. O respeito pelo ser humano e irmão. Isso é a chave para o sucesso!!Colocarem Deus no coração dos filhos e amor ao próximo!!!🙏🙏🙏,3,-2,positivo
"Quem praticar bullying deve ser punido, nas faculdades quantos calouros morrem por serem trote e fica por isso mesmo",1,-2,negativo
"Bullying,sempre existiu,embora com outro nome . Contudo,os resultados jamais se aproximaram dos de hoje. Fatores dispersos e complexos contribuem para reações imprevisíveis. Além,claro,adolescência ser a fase crucial do ser humano.",1,-2,negativo
"Palavra correta é a falta de respeito com seu próximo, aprendendo dentro de casa com seus pais, palavrinha mágica não faça com os outros oque vc não gostaria que fizesse com vc",3,-2,positivo
"Engraçado, hoje em dia inventaram este tal ""Bullyng"",muitas das causas que acontecem nas escolas, ou até mesmo fora dela com os jovens, a desculpa é o bullying. Eu não acho que seja isso, porque antigamente tinha este mesmo tipo de brincadeira nas escolas, eu mesma já sofri com isso com outros colegas, e estou aqui. O problema não é o bullying, ou melhor como era chamado no meu tempo ""folgação"" dos colegas, e sim a estrutura familiar, o afeto dos pais com seus filhos, a educação começa dentro de casa. 
Na minha humilde opinião, os culpados são os próprios pais. Enquanto não existir mais atenção, amor, nao ensinarem o que é respeitar o proximo, nada vai mudar.",3,-4,negativo
"Há uma declaração de um amigo do atirador dizendo que ele não sofria bullying, ele fazia bullying!",1,-4,negativo
E quem nunca sofreu bullying? Vivemos em um país cheio de preconceito não é motivo pra sair por aí tirando vidas de pessoas inocentes.,2,-4,negativo
"Levem seus filhos Crianças e adolescentes para a igreja, não existe igreja perfeita (Façam isso por eles) 

O que faltou nos corações nos 2 meninos foi JESUS! Por anos eles carregaram mágoas e ódio do tempo da escola, se eles tivessem um acompanhamento com pessoas do bem, ensinando-lhes valores e amor a vida e ao próximo, jamais haveria acontecido isso!",3,-4,negativo
"Essa história de bullying até pode existir, mas não me convence com essa notícia. No meu tempo de escola essa palavra nem existia, talvez fosse conhecida como ""provocação"", ""ofensa"" enfim... Mas para mim o fator que mais pesa nessa questão é a educação familiar e governamental.",1,-3,negativo
