created_time,from,message,id,object_link.connections.comments.message
2019-03-14T19:44:29+0000,,"Receba nossas newsletters e fique bem informado todo dia, o dia todo: https://www.gazetadopovo.com.br/newsletter/?utm_campaign=gazeta-do-povo&utm_medium=midia-social&utm_source=facebook",10159181787214572_10159184058644572,null
2019-03-14T09:46:24+0000,,Muito triste 😢😢😢😢😢,10159181787214572_10159182946049572,null
2019-03-13T15:22:53+0000,,,10159181787214572_10159182012474572,null
2019-03-13T15:48:28+0000,,Mariana Trajano,10159181787214572_10159182071454572,null
2019-03-13T15:26:37+0000,,,10159181787214572_10159182021944572,null
2019-03-13T15:45:37+0000,,Horrível o video gente e desesperador,10159181787214572_10159182065814572,null
2019-03-13T14:31:28+0000,,"Grande parte disso é culpa da mídia que ficam repercutindo esse tipo de ação que só acontecia nos Estados unidos. A mídia vive desse tipo de notícia, sem se preocupar em combatê-las. A única coisa que importa é quem chegou primeiro para mostrar a tragédia. É sempre assim ""exclusivo"", ""fomos os primeiros"", ""tivemos acesso"" e por aí afora.",10159181787214572_10159181893334572,Jerson Mattos falou tudo.
2019-03-13T14:31:28+0000,,"Grande parte disso é culpa da mídia que ficam repercutindo esse tipo de ação que só acontecia nos Estados unidos. A mídia vive desse tipo de notícia, sem se preocupar em combatê-las. A única coisa que importa é quem chegou primeiro para mostrar a tragédia. É sempre assim ""exclusivo"", ""fomos os primeiros"", ""tivemos acesso"" e por aí afora.",10159181787214572_10159181893334572,Exatamente.
2019-03-13T14:31:28+0000,,"Grande parte disso é culpa da mídia que ficam repercutindo esse tipo de ação que só acontecia nos Estados unidos. A mídia vive desse tipo de notícia, sem se preocupar em combatê-las. A única coisa que importa é quem chegou primeiro para mostrar a tragédia. É sempre assim ""exclusivo"", ""fomos os primeiros"", ""tivemos acesso"" e por aí afora.",10159181787214572_10159181893334572,"Bernadete Ferreira De Miranda Siqueira concordo com você, penso que jornais são escolas tudo que se mostra repetidas vezes as pessoas aprendem , e hoje em dia muitos aprendem pelo que é mostrado na tv . Buscam novidades na arte de fazer maldade, um abraço para você 🤩🤩🙏🙏"
2019-03-13T14:13:49+0000,,Jhon Ferreira,10159181787214572_10159181863754572,null
2019-03-13T14:38:40+0000,,Aninha Mazuquelli,10159181787214572_10159181909119572,"MEU Deus.
Que Deus tenha misericórdia 😔"
2019-03-13T13:33:29+0000,,"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",10159181787214572_10159181790834572,Rogério Silva isso mesmo.
2019-03-13T13:33:29+0000,,"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",10159181787214572_10159181790834572,"Ou teria morrido junto.
Não dá pra se trabalhar com hipótese!"
2019-03-13T13:33:29+0000,,"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",10159181787214572_10159181790834572,Melhor tentar a sorte com segurança armado doque não ter é da mole pra vagabundo
2019-03-13T13:33:29+0000,,"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",10159181787214572_10159181790834572,"Rogério Silva só se os professores estivessem armados, afinal é uma escola e não uma boate que precise de seguranças armados."
2019-03-13T13:33:29+0000,,"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",10159181787214572_10159181790834572,"Daqui a pouco o ""mito"" vai querer armar as crianças, só falta essa!"
2019-03-13T13:33:29+0000,,"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",10159181787214572_10159181790834572,"quem sabota o desarmamento são os próprios armamentistas. o vizinho do bozo prova isso.
quem vende arma pra bandido são os supostos cidadãos de bem"
2019-03-13T13:33:29+0000,,"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",10159181787214572_10159181790834572,Rogério Silva concordo.
2019-03-13T13:33:29+0000,,"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",10159181787214572_10159181790834572,José Ricardo Seixas Fraga melhor mesmo é ficar a mercê desses loucos q andam por aí n é?
2019-03-13T13:33:29+0000,,"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",10159181787214572_10159181790834572,Rogério Silva colégio é lugar de ter segurança armado? Para de falar asneiras. E se o aluno levar uma arma escondida dentro da mochila de q adianta segurança armado no portão? Cada besteira q se vê de quem defende q o povo esteja armado!
2019-03-13T13:33:29+0000,,"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",10159181787214572_10159181790834572,Se cada criança tivesse uma arma certamente isso não teria acontecido hurr durr
2019-03-13T13:33:29+0000,,"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",10159181787214572_10159181790834572,"Rogério eleito o comentário mais estúpido do dia, parabéns."
2019-03-13T13:33:29+0000,,"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",10159181787214572_10159181790834572,"Cristiano Martins, as crianças já andam armadas ha anos, se atualiza..."
2019-03-13T13:33:29+0000,,"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",10159181787214572_10159181790834572,"Vocês já viram que os lugares onde mais se ocorre ataques são locais que não é permitido o porte e a posse de arma? Pq até um louco sabe que é mais fácil abater uma presa desarmanda do que uma presa armada. 
"" Escola não é lugar de segurança armado"" e o que os marginais estavam fazendo armados na escola? Pqp! 
""E se o segurança armado surta"" vai tomar no seu orifício anal, quando aquele psicopata colocou fogo na creche ele estava armado? Pqp de novo!"
2019-03-13T13:33:29+0000,,"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",10159181787214572_10159181790834572,"Se tem 2 escolas uma ao lado da outra, em uma escola os professores são todos armamentistas todos trabalham armados, na escola ao lado, é uma escola onde todos trabalham com a camiseta com a pomba branca escrito sou da paz, são todos desarmamentistas. 
Agora eu lhe faço uma pergunta, qual escola o psicopata louco vai escolher invadir para atirar nos alunos? A escola onde tem pessoas armadas e ele irá encontrar uma resistência e provavelmente será morto, ou a escola onde não tem ninguém armado e ele irá fazer quantas vítimas quiser pois não encontrar uma resistência à altura? 
Fica aqui meu questionamento e minha dúvida."
2019-03-13T13:33:29+0000,,"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",10159181787214572_10159181790834572,"Colégio mal paga professor
Quem dirá segurança armado"
2019-03-13T13:33:29+0000,,"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",10159181787214572_10159181790834572,Rogerio Silva concordo com você.
2019-03-13T13:33:29+0000,,"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",10159181787214572_10159181790834572,"Rogério Silva o governo “malemar” quer pagar a merenda das crianças imagine um segurança armado, se liga !!"
2019-03-13T13:33:29+0000,,"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",10159181787214572_10159181790834572,"Rogério Silva vc nem viu as informações.. Foram alunos.. Foram adolescentes, com mochilas de estudante.. Nem se tivesse um sniper na escola não iria adivinhar meu caro"
2019-03-13T13:33:29+0000,,"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",10159181787214572_10159181790834572,Rogério Silva concordo com você.
