created_time,message,id,object_link.connections.comments.message,from
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Ana Claudia de Camargo É o resultado da pátria educadora aos moldes paulo freire e pt.,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Fernando Ribeiro tá bom só pq um macho Bolsominion todo fragilizado com a postagem de uma mulher se ofendeu desculpa baby não falo mais vou confortar tua machesa...faz arminha com a mão que passa todo este nervo,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,"Pqp, eu nem li isso. Vai lavar uma louça vai..",
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,"Ana Claudia de Camargo , oportunista e leviana é o q vc é. Tenha vergonha na cara e espere ao menos alguma informação.",
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Ana Claudia de Camargo efeito RACIONAIS MC's,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Muita merda pra uma pessoa só!! Mal caráter é pouco!!,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Se os funcionários da escola tivessem armas isso não teria acontecido de entrar encapuzados,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRzcQHvmkg_LPklDaS_ti_dsFM8_09NLz9L8IcXPqlgr8KWunCZ,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,"Thais Tenello Para de usar drogas, vai te fazer bem e evita postage de merda como esta.",
