Comentário,notaPositiva,notaNegativa,Sentimento
"Será a mesma merda. Primeiro a reforma Trabalhista, agora essa bosta. Viva os idiotas",1,-2,negativo
Ótima notícia,1,-1,neutro
"Historicamente são medidas impopulares que trazem bons frutos, plano real por exemplo, vamo ficar na torcida.Quem nega a necessidade da reforma é burro, não da pra discutir, até alguns opositores votaram a favor tamanha a necessidade.",2,-3,negativo
"Ôh , Maravilha ! Depois da reforma vai ficar tão bom que vamos passear  todos os anos nos States .  Viva o Mitooo .",3,-1,positivo
Bolsonaro aposenta com 33 anos.palhaçada,1,-2,negativo
Canalhad,1,-1,neutro
Vcs vão pagar por acabar com a aposentadoria do povo,1,-3,negativo
"Show, oq 1 bilhão não faz. Já deu dessa galera aqui mesmo, tem mais é que se fuder.",1,-2,negativo
O pior de tudo é ver os pobres aplaudindo as suas próprias desgraça. Meu Deus como é q pode! Misericórdia senhor!,1,-3,negativo
Tudo comprado,1,-1,neutro
"Quero só ver se o país, não melhora, se a economia não melhora, se Desemprego não Diminuir, aonde é que esse povo que é a favor da Reforma, vão enfia a cara",3,-3,neutro
Fudeu.,1,-1,neutro
Canalhas,1,-2,negativo
Alguém tinha dúvidas?  Esses malditos sempre estão contra o povo !,1,-2,negativo
Bandidos,1,-2,negativo
"Pobre tem que trabalhar até morrer. Brasileiro não gosta de trabalhar, disse o eleitor daquele que se aposentou com 30 anos. 🤦",3,-2,positivo
Pelo menos vamos sair da linha da pobreza e ir para a da misériakkk,2,-2,neutro
...Tira a Dilma que as coisas melhoram.- meu ovo direito.Faz a Reforma Trabalhista que o país cresce.- meu testículo esquerdo.Aprova a Reforma da Previdência que o Brasil será um paraíso.- meus dois ovos bem peludos.,2,-2,neutro
Vcs se venderam canalhas,1,-2,negativo
Pronto. Agora para de encher o saco e enfia essa reforma no cu 😒,1,-3,negativo
"Um dia triste pra todos os brasileiros honestos e trabalhadores... tanta luta em vão. Chega esse homem que nunca tinha ouvido falar, e desmancha anos de lutas.MUITO TRISTE ☹️ Deus nos proteja desse louco",1,-3,negativo
Esse galera que é contra são tudo da cambada do pt Lula ladrão nunca mais vai governar o Brasil,1,-2,negativo
Foi uma Vitória do povo Brasileiro,1,-1,neutro
Tirando dinheiro de quem não tem,1,-2,negativo
"dinheiro na mão calcinha no chão, ou cueca no chão,  uma vergonha, tudo comprado.",1,-3,negativo
"""Quem defende essa reforma da Previdência tem as mão sujas de sangue""! (Eduardo Moreira - Economista). Quem votou, idem. Canalhas, canalhas, canalhas... E haja Jabá $$$$$$$$$",1,-4,negativo
Preparem os couros,1,-1,neutro
Lamentável !!!,1,-3,negativo
https://exame.abril.com.br/brasil/maia-diz-que-dobrar-fundo-eleitoral-para-ate-r-37-bi-nao-e-exagero/,1,-1,neutro
https://exame.abril.com.br/brasil/maia-diz-que-dobrar-fundo-eleitoral-para-ate-r-37-bi-nao-e-exagero/,1,-1,neutro
"A velha política não acabou, só mudou de personagens.",1,-2,negativo
Grande conquista para o Brasil! #sqn,3,-1,positivo
Amém,1,-1,neutro
Misericórdia 😢,1,-1,neutro
"Pior não é o rico comemorando, pior é o burro do pobre que comemora.",1,-3,negativo
Alguém pode esquecer de vocês mais eu já mais esquecerei quem são vocês e o que fizeram. Bando de Judas traidores.,1,-3,negativo
Vivi pra ver pobres comemorar o  fim da  própria  aposentadoria o fim  dos próprios  direitos isso  vocês só ver  nó Brasil kkkkkkkk,2,-2,neutro
"Quórum: 510, Sim: 379, Não: 13-1 (número de azar). Passou no 1° turno! Surra de realidade! O governo Militar Bolsonaro não tem governabilidade. 🤣🤣🤣 Avança 🇧🇷",1,-2,negativo
Vcs que foro. Na onda.   O bixo. Vai. Pegar.  Vai voltar. Os tenpo do sufrimento. Pra pobre so resta muitoo. Trabalho.,1,-2,negativo
Povo burro ainda elogia,3,-1,positivo
"Qualquer pobre que comemora em público a aprovação da reforma da previdência, na verdade, atesta a ignorância que possui.",2,-3,negativo
Venderam caro os votos!,1,-2,negativo
Que Deus nos defenda,1,-1,neutro
Morte anunciada.,1,-4,negativo
A petezada corrupta pira!,1,-2,negativo
Péssimo dia pra quem não gosta de trabalhar.,3,-1,positivo
E mexer nos privilégios de políticos? Nada. Essa era o que iria fazer diferente? Tá bom. :),2,-1,positivo
Bando de satanás,1,-3,negativo
É a treva.,1,-1,neutro
Qual o foi o dia que deputado vota em favor de pobre,2,-2,neutro
Israel Ventura olhe ai...,1,-1,neutro
Político comprado e contra o povo que o elegeu e confiou.,2,-2,neutro
Aindam tinham dúvidas com corrupção se comprar qualquer coisas,1,-2,negativo
É o fim,1,-1,neutro
Algum defensor do Bolsonaro sabe informar se os deputados federais estaduais e entre outros vai entrar nessa barca de mudança?Ou vão ficar tudo mamadinha?,1,-3,negativo
E agora vão se fuder!Eu avisei!🤣🤣🤣,1,-3,negativo
Oito deputados do PDT desobedecem ao partido e votam por reforma. Ciro Gomes teria de expulsar quase um terço da sua bancada federal. Perdeu Ciro!!!,1,-2,negativo
"Pobre comemorando a aprovação dessa reforma, rsrs vou dizer viu. Vou ter o prazer em dizer... Me lasquei também mais a culpa não foi minha. 😂😂😂",3,-2,positivo
Tempos sombrios se aproximam.,1,-2,negativo
É uma vergonha das grandes,3,-3,neutro
"Deputados do PDT votando a favor da reforma, é por isso que não dá para confiar no Ciro e nesse partido vendido...",2,-2,neutro
Que Deus tenha piedade de nós.,1,-1,neutro
Por favor!Alguem me explique se alguem foi motorista infartou é cardiopata fez cirurgia não pode mais trabalhar vive de auxilio doênça as vêzes corta e recorre  faz sempre nova pericia vai fazer 60 anos o auxilio é um salário minimo não vai ter direito a aposentadoria???Alguém me explique!Obrigado.,2,-2,neutro
Tbm rolando dinheiro  no meioqiem não  vota,1,-1,neutro
Até a turma do Ciro apoiou...kkk.,2,-1,positivo
Nonato Mesquita infelizmente né,1,-3,negativo
Tenho pena dos pobres que estão nascendo agora.,1,-2,negativo
Pqp,1,-1,neutro
Brasil!!! 🇧🇷,1,-1,neutro
Nunca mais na minha vida voto em deputado. Essas misérias.,1,-1,neutro
Alguém tinha alguma dúvida de que seria aprovada? Dinheiro q manda meu povo,1,-2,negativo
Katia Loth kkkkk,2,-1,positivo
Q merda!,1,-2,negativo
Aos Bozominios parabéns! Vão morrer trabalhando à esqueci ninguém emprega gente velha...O pior que todos se Lascaram...,1,-3,negativo
E tome emendas.,1,-1,neutro
"Muita corvardia pra quem trabalha nesse pais , de bananas . agora acabou a corrupção , ????",3,-3,neutro
Cretinos!!,1,-1,neutro
"Ou novidades?agora quando for próximo ano, vamos votar em todos esses ai",1,-1,neutro
Agora a fome aumenta  no pais,1,-2,negativo
Kkkkkkk pobre é pra morrer pobre mesmo como pode comemorar isso,2,-2,neutro
Meus pêsames a todos os pobre do Brasil agora acabou pobreza,1,-2,negativo
"Só observo os ricos que não precisam da previdência para sobreviver, que aplaudem por não precisar passar 40anos contribuindo ou por não precisar de uma pensão por viuvez. E o pobre vibrando por perder seus direitos.Vamos ver se agora tudo realmente está resolvido.",2,-2,neutro
Felipe Araújo iai tem condição de trocar a Europa por isso?,1,-1,neutro
"Pronto!  ""Vai Voltar grande parte da Antiga Miséria que o povo vivia ""🤮🍊",3,-2,positivo
