Comentário,notaPositiva,notaNegativa,Sentimento
Pais vigiem mais seus filhos...Esses jogos que existem nos dias de hoje que matam as pessoas e só pra induzir as crianças... Esses jogos deviam ser proibidos,2,-2,neutro
Bom Thor de,2,-1,positivo
"E triste sim... Deus conforte os corações dos familiares e dos que vão falar besteira por falta de conhecimento das coisas... Já estão falando e até mesmo esse página de comunicação que a culpa devido pregação e procura de clubes de tiros.. já tão colocando isso como culpa da lei porte de arma.. hoje dia só você pode ir ao beco, esquina com meliante compra ser uma arma que é triste.. vão lê vão buscar conhecimento antes de falar algo .. Não vai ser qualquer um que vai pode ter uma arma na lei.. tem que passar pela polícia federal etc...",1,-4,negativo
Eh fim de mundo.,1,-2,negativo
Whatsapp de um ano de,1,-1,neutro
"Pessoa qndo não nasce pra prestar.... não adianta berço ou educação 
.......... vão sempre fzer o errado.",1,-3,negativo
"Isso é que dá os pais deixarem seus filhos no vídeo game o dia todo e não vão saber o que os filhos olham e fazem,a familia tá se destruindo por causa de pais que deixam seus filhos fazerem o que querem e principalmente não impôr em casa limites ou regras!",3,-3,neutro
Lamentável MEU Deus,1,-3,negativo
"Krl o video e triste infelizmente triste , pq pessoas fazem isso ??? Não são seres humanos !!!",1,-4,negativo
Tiroteio? Isso foi massacre!,1,-2,negativo
"Isso é liberação de armas, muitas pessoas inocentes vão morrer",3,-3,neutro
Natália DiasDias 😔,1,-1,neutro
Lucas Bastos,1,-1,neutro
Leonardo Furtado,1,-1,neutro
Free fire,1,-1,neutro
Anny Damasceno olha ai,1,-1,neutro
Quem é a favor e armar a população é a favor de violência,3,-4,negativo
Paula Silva,1,-1,neutro
Jaqueline Wanzeler,1,-1,neutro
Lamentável 😭😭,1,-3,negativo
Isso é fruto desse ódio pregado...,1,-4,negativo
Silvana Nascimento,1,-1,neutro
Iury,1,-1,neutro
Free fire,1,-1,neutro
Edson Vilhena,1,-1,neutro
Nayara Ribeiro,1,-1,neutro
Bianca Braga,1,-1,neutro
E só ler a bíblia que vc vai entender a calza de tudo isso,1,-1,neutro
Faz arminha faz arminha isso só é o começo so tinha nos EUA agora é aqui no Brasil,1,-1,neutro
"Que horror, más isso é o descontrole dos país em deixar os filhos na internet dia e noite aprendendo em jogos de violência ...",2,-4,negativo
Tem que muita a lei destes adolescentes tem que ser 8 anos prisão perpétua. Está demorando muito..Que país é este.,3,-2,positivo
"""Geração só mal""",1,-3,negativo
So Deus pra nos proteger desse tipo ds gente que sai por ai matando,2,-2,neutro
tai Bostanaro o que acontece quando se põem armas na mão da população.,3,-1,positivo
"Eu aposto que isso tem aver com Baleia Azul.
Pelo fato de serem adolescentes.",1,-1,neutro
"Não adianta tentarem especular o motivo, o fato é que essa tragédia aconteceu e se não fizermos algo a respeito vai se tornar corriqueiro como nos EUA.",3,-3,neutro
São tão covardes esses monstros disfarçados de adolescentes que se matam.,1,-2,negativo
"Velhos tempos,,""faltas de umas palmadas e castigo tipo não vai,não sai,hoje tempos modernos os filhos podem tudo tai o resultado, deviam estar drogados infelizmente,Proibido palmadas etc...",2,-3,negativo
Pensamento de um demente achar que a loucuras desses dois monstros e o fato de liberar arma,2,-2,neutro
"Um fato triste desse e vocês aí discutindo sobre politica...
Isso não se trata de ter ou não porte de arma por favor respeitem um pouco essas famílias de quem perdeu seus filhos mortos por filhos de pais incompetentes .",3,-4,negativo
"Essa é a geração nerd, Netflix, freefire ...
Não procuram nada produtivo para ocupar suas mentes de debilóides.
Ou então era vontade de dar o tóba mesmo.",1,-3,negativo
