Comentário,notaPositiva,notaNegativa,Sentimento
E os pobres aqui comemorando a perda dos seus direitos! Não ter consciência de que é explorado faz com vcs lambam as botas de quem pisa em vcs!,1,-2,negativo
Passamos,1,-1,neutro
Ó Jesus tenha misericórdia de seus filhos que estão nas mãos de um bando de abutres..,1,-2,negativo
"É Edmar Correa, é isso mesmo, essa reforma da previdência que acaba de ser aprovada só vem nos prejudicar, os menos favorecidos, enquanto a eles, só privilégios. Digo que nunca vivemos na nossa história um governo mais perseguidor na vida dos trabalhadores. Deus tenha misericódia!!!😭😭😭😭😭😭",2,-2,neutro
"A pergunta que não quer calar: a aposentadoria integral de 8 anos dos políticos acabou? A do judiciário? A aposentadoria dos mais pobres vai melhorar?Sim, foram 3, mas tudo aqui é superfaturado mesmo",2,-2,neutro
Com plenário cheio de corruptos e com tanto dinheiro sendo dado queriam o que?,3,-2,positivo
O Brasil tem jeito.,1,-1,neutro
Grande dia 😎🇧🇷👉 ou faz a reforma ou o Brasil vai ao fundo igual a Venezuela.. simples assim,3,-2,positivo
"O choro de alívio do Rodrigo Maia de quem vai continuar explorando trabalhadores e vai salvar da falência os negócios do papai, é quase comovente.Brasil é isso, gente que nunca trabalhou ditando as regras do trabalho.Qualquer tentativa de dizer que isso é modernidade contradiz os fatos de que a legislação brasileira retrocede 1 século em relação às demais nações ocidentais. Nem no mais liberal dos países o trabalhador estará tão desamparado.""Entre o mais forte e o mais fraco, a liberdade escraviza e a lei liberta"" - Henri Dominique Lacordaire",2,-4,negativo
Esse estoria que vão mexer na aposentadoria dos políticos e papo para enganar Besta acordem meu povo políticos NÃO tiram nada deles .😡😡,1,-3,negativo
Quanto será que vale um voto a favor?,2,-1,positivo
Ninguém sabe se vai melhorar ou piorar,2,-1,positivo
Estagiário ta bravinho né  kkkk,2,-4,negativo
Como será que vai ficar o loas,1,-1,neutro
A oposição é grande 150 somente,3,-2,positivo
Vitória dos banqueiros! Decepcionante esses deputados que trocam seus votos por propina!,1,-1,neutro
Como eu gosto do capitalismo 😂😂😂,3,-1,positivo
Reforma assassina!,1,-2,negativo
Depois de aprovado e entrar em vigor e forem cair na real que essa previdência é pra lascar pobre vou dizer: faz arminha que se aposenta!🤣🤣🤣🤣🤣🤣,1,-2,negativo
Coisa boa.Vamos comemorar 😋🍻Vitória 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,1,-2,negativo
Ladeira abaixo e seguindo...,1,-1,neutro
"O general Heleno tem vergonha dos R$ 19 mil líquidos que ele recebe de aposentadoria do Exército, mas acha justo que o brasileiro médio ganhe 60% de um salário mínimo ao se aposentar. Quantos desses 99% dos brasileiros gostariam de passar a vergonha que o Heleno passa?",3,-3,neutro
"Quem não aprova a reforma são aqueles que não ficam em emprego nenhum, vivem de seguro desespero e principalmente são aqueles que não gosta do que faz. Não pensam no futuro dos seus filhos só pensam no seu próprio egoísmo de viver a custa do estado.  Grande dia e boa noite a todos.",3,-3,neutro
"Ptsta só sabe reclamar. Pq não foram as ruas protestar!?  Ah lembrei, vcs são a minoria ...",1,-2,negativo
